CODENAME        OSARCH        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                     
stretch         armhf         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    2135d34e7aa6bb32427d8ba3f84256c8        
xenial          amd64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    9956a22e6aca7b1d75b9dc667c6fcbe5        
xenial          arm64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    1493950c25956380c6f3bd009bbffb56        
xenial          armhf         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    fb2c5a39cd6a751cb3393d944c825f86        
buster          arm64         deluge                      deluge-torrent                  2.0.3                  deluge-torrent_2.0.3-1build1_all.deb                     01336389c56c5c572270c0ffecd0aff5        
stretch         arm64         deluge                      deluge-torrent                  2.0.3                  deluge-torrent_2.0.3-1build1_all.deb                     2ee6ef1c8a3730b46294f22a08d9ed71        
bionic          amd64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        8c813143c2d926d92a580d0c5b7a2e83        
bionic          arm64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        8c813143c2d926d92a580d0c5b7a2e83        
bionic          armhf         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        8c813143c2d926d92a580d0c5b7a2e83        
buster          amd64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        138493b8a7ff0c412a7b511751919d11        
buster          arm64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        138493b8a7ff0c412a7b511751919d11        
buster          armhf         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        138493b8a7ff0c412a7b511751919d11        
jessie          amd64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        3f07f0c6428d6f407146d7027a4a4bef        
jessie          armhf         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        8f0a9e123a2dc1837a11febee69a67fd        
stretch         amd64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        389cdf5cd5e0af98dbe4500e5f0502fe        
stretch         arm64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        389cdf5cd5e0af98dbe4500e5f0502fe        
stretch         armhf         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        389cdf5cd5e0af98dbe4500e5f0502fe        
xenial          amd64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        308f83a4fb7d33ab502a288514829c2a        
xenial          arm64         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        b77f3720ba14d22b70eee8dc882dca27        
xenial          armhf         deluge                      deluge-web                      1.3.15                 deluge-web_1.3.15-1build1_all.deb                        1c0e4a41a304bb600181dc6cd939a7de        
bionic          amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         6dc80cbe6c3d64b37542f09ba8e36907        
bionic          arm64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         6dc80cbe6c3d64b37542f09ba8e36907        
bionic          armhf         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         6dc80cbe6c3d64b37542f09ba8e36907        
bullseye        amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         80c113ceb702c49f508a84eaabe5b73f        
buster          amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         7a13594e203252930aa9c6e6da5083a6        
buster          arm64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         7a13594e203252930aa9c6e6da5083a6        
buster          armhf         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         7a13594e203252930aa9c6e6da5083a6        
focal           amd64         deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         c91a08f13cdd1bed7737451702abd917        
